,align,no_align,time,distance,n_proj,n_epochs,seed,subject,target_subject,multifreq,reg,cross_subject
124,1.0,1.0,0.0,les,500,80,929,9,9,False,10.0,True
125,1.0,1.0,0.0,lew,500,80,2473,1,1,False,1.0,True
126,0.662962962962963,0.5222222222222223,1.5968077182769775,lew,500,80,2473,1,3,False,1.0,True
127,0.5571955719557196,0.5055350553505535,1.627471923828125,lew,500,80,2473,1,7,False,1.0,True
128,0.5946969696969697,0.39015151515151514,1.9402647018432617,lew,500,80,2473,1,8,False,1.0,True
129,0.43037974683544306,0.26582278481012656,1.9275414943695068,lew,500,80,2473,1,9,False,1.0,True
130,0.673992673992674,0.3443223443223443,1.1467070579528809,lew,500,80,2473,3,1,False,1.0,True
131,1.0,1.0,0.0,lew,500,80,2473,3,3,False,1.0,True
132,0.6420664206642066,0.30996309963099633,1.6162443161010742,lew,500,80,2473,3,7,False,1.0,True
133,0.6931818181818182,0.4962121212121212,1.8796536922454834,lew,500,80,2473,3,8,False,1.0,True
134,0.45569620253164556,0.2742616033755274,1.8343372344970703,lew,500,80,2473,3,9,False,1.0,True
135,0.5714285714285714,0.5201465201465202,1.5556590557098389,lew,500,80,2473,7,1,False,1.0,True
136,0.6370370370370371,0.5333333333333333,1.5838677883148193,lew,500,80,2473,7,3,False,1.0,True
137,1.0,1.0,0.0,lew,500,80,2473,7,7,False,1.0,True
138,0.4356060606060606,0.26136363636363635,1.9766547679901123,lew,500,80,2473,7,8,False,1.0,True
139,0.3924050632911392,0.26582278481012656,1.8747382164001465,lew,500,80,2473,7,9,False,1.0,True
140,0.5457875457875457,0.4981684981684982,1.3815174102783203,lew,500,80,2473,8,1,False,1.0,True
141,0.6555555555555556,0.5777777777777777,1.8850328922271729,lew,500,80,2473,8,3,False,1.0,True
142,0.34686346863468637,0.24354243542435425,1.9766192436218262,lew,500,80,2473,8,7,False,1.0,True
143,1.0,1.0,0.0,lew,500,80,2473,8,8,False,1.0,True
144,0.4936708860759494,0.39662447257383965,1.6529099941253662,lew,500,80,2473,8,9,False,1.0,True
145,0.46153846153846156,0.2673992673992674,1.917663812637329,lew,500,80,2473,9,1,False,1.0,True
146,0.48148148148148145,0.2851851851851852,1.8693256378173828,lew,500,80,2473,9,3,False,1.0,True
147,0.25461254612546125,0.24723247232472326,1.8481135368347168,lew,500,80,2473,9,7,False,1.0,True
148,0.5265151515151515,0.3977272727272727,1.2087678909301758,lew,500,80,2473,9,8,False,1.0,True
149,1.0,1.0,0.0,lew,500,80,2473,9,9,False,1.0,True
150,1.0,1.0,0.0,lew,500,80,7490,1,1,False,1.0,True
151,0.662962962962963,0.5222222222222223,1.6098310947418213,lew,500,80,7490,1,3,False,1.0,True
152,0.5571955719557196,0.5055350553505535,1.617053508758545,lew,500,80,7490,1,7,False,1.0,True
153,0.5946969696969697,0.39015151515151514,1.963538646697998,lew,500,80,7490,1,8,False,1.0,True
154,0.43037974683544306,0.26582278481012656,1.8766200542449951,lew,500,80,7490,1,9,False,1.0,True
155,0.673992673992674,0.3443223443223443,1.133270263671875,lew,500,80,7490,3,1,False,1.0,True
156,1.0,1.0,0.0,lew,500,80,7490,3,3,False,1.0,True
157,0.6420664206642066,0.30996309963099633,1.619908332824707,lew,500,80,7490,3,7,False,1.0,True
158,0.6931818181818182,0.4962121212121212,1.8709042072296143,lew,500,80,7490,3,8,False,1.0,True
159,0.45569620253164556,0.2742616033755274,1.8577346801757812,lew,500,80,7490,3,9,False,1.0,True
160,0.5714285714285714,0.5201465201465202,1.5671353340148926,lew,500,80,7490,7,1,False,1.0,True
161,0.6370370370370371,0.5333333333333333,1.5843279361724854,lew,500,80,7490,7,3,False,1.0,True
162,1.0,1.0,0.0,lew,500,80,7490,7,7,False,1.0,True
