,align,no_align,time,distance,n_proj,n_epochs,seed,subject,target_subject,multifreq,reg,dataset,resample,epoch_tmin,epoch_tmax,cov_fs,cov_time_window,cross_subject,lr
86,0.545,0.535,2.264143466949463,spdsw,500,500,2473,8,3,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
87,0.69,0.71,2.272286891937256,spdsw,500,500,2473,8,4,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
88,0.54,0.465,2.3348145484924316,spdsw,500,500,2473,8,5,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
89,0.545,0.54,2.2770650386810303,spdsw,500,500,2473,8,6,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
90,0.62,0.505,2.3082432746887207,spdsw,500,500,2473,8,7,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
91,1.0,1.0,0.0,spdsw,500,500,2473,8,8,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
92,0.52,0.55,2.279111623764038,spdsw,500,500,2473,8,9,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
93,0.545,0.585,2.3617262840270996,spdsw,500,500,2473,8,10,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
94,0.575,0.535,2.2628941535949707,spdsw,500,500,2473,8,11,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
95,0.605,0.5,2.3021302223205566,spdsw,500,500,2473,8,12,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
96,0.945,0.5,2.299643039703369,spdsw,500,500,2473,9,1,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
97,0.71,0.77,2.244951009750366,spdsw,500,500,2473,9,2,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
98,0.77,0.595,2.272063970565796,spdsw,500,500,2473,9,3,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
99,0.655,0.745,2.250007390975952,spdsw,500,500,2473,9,4,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
100,0.625,0.51,2.2642271518707275,spdsw,500,500,2473,9,5,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
101,0.56,0.56,2.2619705200195312,spdsw,500,500,2473,9,6,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
102,0.445,0.595,2.311410903930664,spdsw,500,500,2473,9,7,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
103,0.535,0.545,2.270001173019409,spdsw,500,500,2473,9,8,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
104,1.0,1.0,0.0,spdsw,500,500,2473,9,9,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
105,0.49,0.6,2.276926279067993,spdsw,500,500,2473,9,10,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
106,0.38,0.45,2.2564375400543213,spdsw,500,500,2473,9,11,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
107,0.565,0.57,2.2956202030181885,spdsw,500,500,2473,9,12,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
108,0.855,0.5,2.2783334255218506,spdsw,500,500,2473,10,1,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
109,0.745,0.575,2.371546983718872,spdsw,500,500,2473,10,2,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
110,0.53,0.58,3.8236100673675537,spdsw,500,500,2473,10,3,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
111,0.66,0.665,2.3634872436523438,spdsw,500,500,2473,10,4,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
112,0.55,0.5,2.2756991386413574,spdsw,500,500,2473,10,5,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
113,0.53,0.535,2.328516721725464,spdsw,500,500,2473,10,6,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
114,0.515,0.525,2.272041082382202,spdsw,500,500,2473,10,7,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
115,0.485,0.595,2.2937300205230713,spdsw,500,500,2473,10,8,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
116,0.49,0.53,2.2694091796875,spdsw,500,500,2473,10,9,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
117,1.0,1.0,0.0,spdsw,500,500,2473,10,10,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
118,0.625,0.48,2.311008930206299,spdsw,500,500,2473,10,11,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
119,0.46,0.51,2.2713468074798584,spdsw,500,500,2473,10,12,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
120,0.425,0.5,2.2522478103637695,spdsw,500,500,2473,11,1,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
121,0.7,0.565,2.294948101043701,spdsw,500,500,2473,11,2,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
122,0.45,0.47,2.2568793296813965,spdsw,500,500,2473,11,3,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
123,0.575,0.58,2.3672609329223633,spdsw,500,500,2473,11,4,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
124,0.465,0.505,2.274686336517334,spdsw,500,500,2473,11,5,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
125,0.455,0.47,2.275691270828247,spdsw,500,500,2473,11,6,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
126,0.445,0.415,2.3167099952697754,spdsw,500,500,2473,11,7,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
127,0.505,0.625,2.2771990299224854,spdsw,500,500,2473,11,8,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
128,0.425,0.49,2.3310632705688477,spdsw,500,500,2473,11,9,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
129,0.505,0.535,2.253357172012329,spdsw,500,500,2473,11,10,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
130,1.0,1.0,0.0,spdsw,500,500,2473,11,11,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
131,0.4,0.46,2.36246919631958,spdsw,500,500,2473,11,12,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
132,0.55,0.545,2.255207061767578,spdsw,500,500,2473,12,1,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
133,0.52,0.46,2.241144895553589,spdsw,500,500,2473,12,2,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
134,0.58,0.495,2.343301773071289,spdsw,500,500,2473,12,3,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
135,0.36,0.325,2.274160623550415,spdsw,500,500,2473,12,4,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
136,0.445,0.465,2.2637624740600586,spdsw,500,500,2473,12,5,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
137,0.52,0.5,2.3088626861572266,spdsw,500,500,2473,12,6,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
138,0.465,0.55,2.280097007751465,spdsw,500,500,2473,12,7,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
139,0.495,0.505,2.320279359817505,spdsw,500,500,2473,12,8,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
140,0.545,0.595,2.273437261581421,spdsw,500,500,2473,12,9,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
141,0.495,0.52,2.2434346675872803,spdsw,500,500,2473,12,10,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
142,0.36,0.385,2.259535551071167,spdsw,500,500,2473,12,11,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
143,1.0,1.0,0.0,spdsw,500,500,2473,12,12,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
144,1.0,1.0,0.0,spdsw,500,500,7490,1,1,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
145,0.92,0.5,2.274505138397217,spdsw,500,500,7490,1,2,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
146,0.83,0.505,2.272794246673584,spdsw,500,500,7490,1,3,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
147,0.84,0.5,2.340822458267212,spdsw,500,500,7490,1,4,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
148,0.705,0.5,2.253258466720581,spdsw,500,500,7490,1,5,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
